"video_id","text","author","likes","date","time","year","met_gala_year"
"iWS3oVeyjL4","30:07 I IMMEDIATELY thought the theme was the African American pastor 😂😂😂OR the 80s comedian like Kings of Comedy.

Anyway I would have loved to see Tyler a South African represent the country more while ON THEME. We have miner overalls that matter and she could have told our narration not unlike the way the dandys reimagined history for fashion. 🤷🏾","@KindnessKillsNONDO","0","2025-05-14","11:00:00","2025","2025"
"iWS3oVeyjL4","nicki the best","@kaiwenro-s5z","0","2025-05-14","09:00:00","2025","2025"
"iWS3oVeyjL4","I love Ayo's look, the beading is stunning","@StelViri","0","2025-05-14","08:00:00","2025","2025"
"iWS3oVeyjL4","I wonder if people who wore more ""boring"" outfits like gowns did so bc they were scared of appropriation?","@mesnchz","0","2025-05-14","08:00:00","2025","2025"
"iWS3oVeyjL4","I've loved your channel for years but the amount of ads is making it unwatchable 😭","@marie-clairewood","0","2025-05-14","06:00:00","2025","2025"
"iWS3oVeyjL4","Nicki was my favourite","@GeminiLand","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","Great review, but actually for Ayo Edebri's beaded portion of the dress, I think it's more of a homage to her Nigerian roots. Such red beading is symbolic of a lot of tribes, particularly Ibo traditional wear, so I don't see anything European about it. But maybe it's because I'm looking at it from an African lens, given that dandyism has African roots.","@justinaadk5081","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","Jamie O Harris  made sense","@guiraurkikoa","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","Hello. You picked up the best out of almost all aw...outfits.Thank you.","@guiraurkikoa","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","Nothing close to European. We dont have such aw... taste 😢.","@guiraurkikoa","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","Luke, as a proud Black African woman I feel so seen by you in this review - your respect through research is so impressive and I have developed a new level of respect for you! I always knew you were the girl you think you are but LEVELS!!! Sending you so much love from Namibia 🇳🇦","@tulimelilashityuwete7516","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","Jeremy O looks simply awesome 👏👏👏","@AdamFlanagan-r5s","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","Teyana and Lewis Hamilton, Bad Bunny and Andre 3000 were my favourites 

Doja cat, Kendall, Hathaway and most white people were trash 

I didn’t mind Kim’s outfit. From the back though.","@poerava","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","I love your grasp of references and the historical knowledge you give. Brilliant.  Amanda Hallay got me excited about that element of style, and your take on it is fun and thoughtful ❤","@rgbar-g780","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","The shoe Ayo is wearing is INCREDIBLE its hidden under the skirt but a really great addition to her look.","@morgancrosby4190","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","Janelle Monae has such a beautiful sense of fashion and what looks good on her. She wows me every single time ❤️‍🔥🙌🏼","@jeanaerowley7150","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","I think they copped out by doing two themes. They should have just made it about black dandyism but were probably too scared to go there. I blame that for one half of the guests dressing amazing in the other half giving us nothing🙄😒","@coleent8167","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","Central cee!!","@orlameehan1123","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","I think the theme ""Tailored for You"" was chosen specifically with Janelle Monet in mind.
I don't know about anyone else but as soon as I heard the theme I thought …
a) I hope Ms. Monet will be there, and
b) She's gonna absolutely kill this runway lol","@FlamboyantFashionCripple","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","Sincerely Teyana’s look was the most dandy that dandy can get","@ElleEstyl","0","2025-05-14","00:00:00","2025","2025"
"iWS3oVeyjL4","my one and ultimate question is why men just can not wear stuff like this in every red carpet event ????  why they're always playing it safe with their boring black n white suits ??????","@oussamayahyaoui3761","0","2025-05-14","00:00:00","2025","2025"
